Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CD,BV,CS,DP,CH,CA*CA,CA*BT,CA*BU,CA*CD,CA*BV,CA*CS,CA*DP,CA*CH,BT*CA,BT*BT,BT*BU,BT*CD,BT*BV,BT*CS,BT*DP,BT*CH,BU*CA,BU*BT,BU*BU,BU*CD,BU*BV,BU*CS,BU*DP,BU*CH,CD*CA,CD*BT,CD*BU,CD*CD,CD*BV,CD*CS,CD*DP,CD*CH,BV*CA,BV*BT,BV*BU,BV*CD,BV*BV,BV*CS,BV*DP,BV*CH,CS*CA,CS*BT,CS*BU,CS*CD,CS*BV,CS*CS,CS*DP,CS*CH,DP*CA,DP*BT,DP*BU,DP*CD,DP*BV,DP*CS,DP*DP,DP*CH,CH*CA,CH*BT,CH*BU,CH*CD,CH*BV,CH*CS,CH*DP,CH*CH
BT*DP,3.770835092,0.69181776,5.02E-08,0.000126986,-0.001274575,0.001905778,-0.000121315,0.000995607,7.54E-06,-0.001636065,-8.35E-05,-0.000928011,-0.000400307,6.78E-05,-0.000210321,-0.000124233,-0.009650782,0.003575191,0.002109899,0.015754735,0.000670011,-0.003954622,0.003272401,-0.009511475,0.09209161,0.4786118,0.03596339,-0.006071309,-0.001227543,-0.002612179,-0.003203234,-0.001471287,-0.06935781,0.07656325,0.011069037,0.000227207,0.000370162,0.000438346,-0.000568567,0.000115073,0.006535058,0.003669623,0.002640168,-0.001416229,8.36E-05,-0.001031818,-0.001021064,-0.001203285,-0.0078391,0.02008049,-0.000190896,6.70E-05,0.002214678,0.000139537,-0.000219532,-0.00023005,-2.39E-05,-0.015444021,0.001070328,0.003066996,-0.00867104,0.001269548,0.002220748,0.001098193,0.02467375,0.005458596,0.002921217,-6.35E-06,0.000175836,0.000677723,0.000368418,0.000416364,0.001287208,-0.09239208,8.05E-05
BT*CH,1.842125612,0.42108133,1.22E-05,5.25E-05,-0.000271815,0.000695884,4.12E-05,7.90E-05,-3.04E-06,-1.78E-05,-0.000700542,-0.000369107,1.75E-05,3.50E-05,0.000158534,-0.000289605,-0.025288666,-4.37E-05,0.010839365,0.002260212,2.29E-06,-0.002818015,0.001211374,-0.002270841,-0.014318648,0.03596339,0.17730948,-0.001476994,-0.000433202,-0.001173789,8.25E-05,-0.001801381,-0.024047974,0.007537127,0.032350685,-4.47E-06,3.97E-05,0.000157344,-9.22E-05,-0.000174777,0.000290047,-0.000672685,-0.000675353,-0.000512696,-0.000357322,0.000567166,-0.000193512,-7.16E-05,-0.004353122,-0.003767141,0.001833636,-0.000464113,0.000693579,9.58E-05,9.52E-05,-1.88E-05,9.60E-06,-0.003608662,0.000517587,3.57E-05,0.000915805,0.000433521,-0.000294278,0.000635802,-0.000276087,0.000253841,-0.007911949,0.004327276,-0.004354173,5.41E-05,0.001715749,-0.000139138,0.00919367,0.016879013,0.001539801
BU*CA,-0.838607604,0.12191841,6.05E-12,0.000140878,-3.66E-05,-0.000167203,-0.000100599,-0.000187921,-4.95E-06,-2.42E-05,5.08E-05,-0.000195832,-8.94E-05,0.000432153,3.57E-05,-0.00012772,0.001702172,0.00044749,0.002940642,0.006972428,-7.12E-06,-7.70E-05,2.98E-05,-0.000368881,0.001246832,-0.006071309,-0.001476994,0.014864099,9.31E-05,-0.000269441,0.000571713,-0.000396457,0.00938929,-0.002642365,-0.000706548,0.003682563,8.55E-05,0.000307334,-4.32E-05,-4.84E-05,-0.000571859,9.21E-07,-0.000448482,0.001802706,0.000164407,0.000217308,-5.26E-05,0.000155803,-0.000855436,-0.002075207,-0.000209518,0.0045823,-1.89E-06,0.000289016,-0.000262048,-0.000123241,1.52E-05,-0.0021471,-0.001320144,0.001057651,1.74E-05,-2.81E-05,-5.31E-05,-0.000109392,0.001147855,4.80E-05,0.002940441,0.0023032,-6.37E-05,6.26E-05,-0.000557933,-5.44E-05,0.000472115,0.005691293,-0.000129468
BU*BT,-0.738761694,0.016655564,0,-5.95E-06,-3.77E-05,-0.000187943,-2.03E-05,-3.81E-05,-8.98E-07,-9.55E-06,-5.89E-06,2.32E-05,3.89E-05,-7.22E-06,-5.43E-06,8.98E-06,0.000229829,1.97E-05,-0.000127876,9.82E-05,5.83E-05,0.000157931,-8.60E-06,-6.51E-05,-0.004152435,-0.001227543,-0.000433202,9.31E-05,0.000277408,0.00012844,0.000204855,0.000176134,0.001922288,0.000568417,5.61E-05,1.92E-05,7.23E-05,-5.84E-06,1.52E-05,1.76E-05,0.000424198,7.78E-05,3.45E-05,6.08E-05,2.84E-05,8.80E-06,5.21E-05,2.26E-05,-1.38E-05,-0.000165246,3.35E-05,-3.88E-05,0.00017763,-4.96E-06,-8.49E-06,4.45E-06,2.79E-06,-9.99E-05,-3.04E-06,1.38E-05,1.88E-05,-2.63E-05,8.80E-06,-1.74E-05,0.000199539,3.27E-05,-1.14E-05,-7.90E-06,2.58E-05,-1.54E-05,-1.53E-05,3.68E-06,0.000173803,-0.000352971,1.39E-05
BU*BU,-0.988291301,0.018854208,0,8.40E-07,-5.51E-05,-0.00018173,-1.45E-05,-3.86E-05,-5.92E-07,-7.92E-06,-3.26E-06,1.30E-05,-9.65E-06,2.50E-06,-1.51E-05,5.15E-06,-0.000158042,1.59E-06,-5.85E-05,-0.000129945,6.43E-05,5.06E-05,-4.39E-05,2.33E-05,-0.003511068,-0.002612179,-0.001173789,-0.000269441,0.00012844,0.000355481,-8.22E-06,0.000201724,-0.000841971,-0.001315376,-0.000862626,-5.63E-06,2.12E-06,3.52E-06,2.51E-05,1.57E-06,9.30E-05,2.64E-05,-2.94E-05,7.03E-05,-3.50E-05,2.38E-05,3.80E-05,2.98E-05,4.56E-05,-0.000293314,1.94E-05,-1.92E-05,1.91E-05,5.23E-06,-9.45E-06,2.50E-06,1.84E-06,6.33E-05,-6.89E-05,1.27E-05,3.58E-05,-1.68E-05,8.04E-06,-1.59E-05,5.42E-05,2.62E-05,-9.16E-05,-2.06E-05,2.73E-05,-1.91E-05,-2.19E-05,-6.11E-06,0.000205181,-0.000299981,8.05E-06
BU*CD,-0.830025268,0.03750544,1.60E-108,1.88E-07,-4.25E-05,-0.000229889,2.31E-05,-0.000109189,-2.66E-06,8.78E-06,1.12E-07,-1.60E-06,8.99E-06,8.83E-06,7.46E-05,-1.83E-05,-0.001320169,-0.000156945,2.27E-05,0.000108734,6.22E-05,-7.39E-05,9.31E-05,-0.00030436,-7.35E-05,-0.003203234,8.25E-05,0.000571713,0.000204855,-8.22E-06,0.001406658,-0.000180432,0.008104686,0.000985983,0.001561522,-0.000253648,-9.58E-06,0.000236994,9.41E-05,-7.23E-06,-0.000308791,-0.000350066,-0.000323987,-4.34E-05,1.72E-05,9.31E-05,0.000255122,6.20E-05,-0.000110604,-0.000332746,0.000162842,-0.000186725,-3.07E-05,6.99E-05,0.00011319,-7.26E-06,8.08E-06,-0.000623787,-5.99E-05,-0.000110466,-1.22E-05,1.39E-05,-9.08E-06,-3.38E-05,-0.000225676,-3.93E-05,-0.000280968,-7.14E-05,-7.93E-06,9.60E-05,3.41E-05,-4.18E-05,-0.000453562,0.001461132,-8.60E-07
BU*BV,-0.517438488,0.040447213,1.80E-37,-2.97E-07,-5.08E-05,-0.000192439,-1.50E-05,0.000131014,1.88E-06,-1.85E-05,-8.38E-06,-6.17E-05,-2.04E-05,-1.21E-05,-5.50E-05,7.73E-05,0.002257632,4.52E-05,-0.000325611,-0.000326396,4.72E-05,9.63E-05,-5.63E-05,0.001044715,-0.011586729,-0.001471287,-0.001801381,-0.000396457,0.000176134,0.000201724,-0.000180432,0.001635977,-0.009379991,-4.49E-05,-0.00147791,-0.000110172,7.29E-06,-0.00010245,1.11E-05,0.000153654,-9.24E-06,0.000113995,-0.000354644,-3.86E-05,-0.000134882,0.000221645,2.42E-05,-0.000112066,-0.001109744,-0.000610851,-0.000338275,-1.76E-05,-4.21E-05,-8.88E-06,-3.43E-05,0.000103272,-5.88E-06,-0.000594942,-0.000362042,-4.10E-05,5.33E-05,-3.43E-05,4.04E-05,-3.84E-05,0.000335614,5.32E-05,0.000383949,0.000115479,4.31E-05,-4.12E-05,-0.000124973,2.28E-05,0.000624067,-0.00381275,2.28E-05
BU*CS,-3.657326953,0.8394924,1.32E-05,-0.000527822,0.000383726,-0.002089919,-0.000423069,-0.000920004,0.000101114,-0.000172023,1.18E-05,0.003355298,0.000378883,-0.000302619,-0.00029349,0.000129204,0.104321875,-0.001599224,-0.02872722,0.004079647,-0.00043741,-0.0017297,0.000511225,-0.012160082,0.37459645,-0.06935781,-0.024047974,0.00938929,0.001922288,-0.000841971,0.008104686,-0.009379991,0.7047475,-0.062841386,-0.030084992,-0.000531703,0.000756094,0.001063743,0.000410619,-0.000629553,0.07003348,0.000524484,-0.003052889,-0.002780721,0.00091895,0.00123762,-0.00114325,0.001136269,0.060322512,-0.00332423,-0.000442144,-0.005298754,0.005245081,0.003174162,0.003013038,0.000615104,-0.000312273,0.00354616,-0.001468485,-0.000809819,0.00089888,0.000770558,0.000236616,-0.000965637,0.027696557,0.000352845,-0.000133085,-0.005740163,0.000627251,0.000941017,-0.001607611,-0.000944148,0.040661547,-0.013590862,-2.78E-05
BU*DP,0.957219662,0.33181316,0.003916434,0.000156735,-8.02E-05,-0.000681936,-0.000124396,0.000243289,-5.33E-06,-0.000453165,-0.000131551,-0.001062298,-0.000265756,0.000109864,-0.000207506,-0.000122961,-0.01320904,0.00263352,0.001812401,-0.003367867,2.67E-05,-0.000247938,-0.000263259,-0.000299191,-0.052410834,0.07656325,0.007537127,-0.002642365,0.000568417,-0.001315376,0.000985983,-4.49E-05,-0.062841386,0.11009997,0.02112861,4.42E-05,-6.82E-05,0.000588028,-0.000568604,0.000240801,0.012279973,0.004280896,0.001870413,-0.001089329,-0.000445126,-0.000354207,-2.05E-06,-0.000482805,-0.004607596,0.014780794,0.000325065,-0.001062636,-0.001344029,-0.000298926,0.000142372,-0.000291935,1.56E-05,0.004578938,0.002233783,0.001458093,-8.47E-05,-5.38E-05,0.000747761,0.000281211,0.012056272,0.001779896,0.004136558,0.000800435,-4.73E-05,0.000295382,0.000289385,0.000187903,-0.000105292,-0.021156508,0.000273685
BU*CH,0.838509006,0.2047129,4.20E-05,8.65E-05,-2.37E-05,-0.000146762,-6.17E-05,-3.96E-05,-2.08E-06,-8.12E-06,-0.000402712,-0.000831862,-2.61E-05,4.98E-05,0.000199035,-0.0003079,-0.030317916,0.000178096,0.012826632,-0.000921511,1.73E-05,-0.000501272,0.000114287,-0.00103217,-0.018363254,0.011069037,0.032350685,-0.000706548,5.61E-05,-0.000862626,0.001561522,-0.00147791,-0.030084992,0.02112861,0.04190737,2.47E-05,4.59E-05,0.000322537,-8.17E-05,-0.000131331,0.00114241,0.000152558,0.003503149,-0.000580469,-0.000244242,0.000701629,-4.51E-05,4.56E-05,-0.004193401,-0.008740437,0.002435675,-0.000806217,-0.000576383,-5.30E-05,-0.000113132,-0.000179973,6.21E-06,-0.003376464,0.003110412,-2.22E-07,-0.000145933,0.00012027,-0.000187891,0.000128717,0.002041658,0.000129476,-0.001930959,0.003305114,0.000192029,-0.000202064,0.00191447,0.000229841,0.00350128,0.007949369,0.000927607
CD*CA,-1.052077333,0.1016832,4.34E-25,1.57E-05,-1.42E-05,-4.92E-05,-0.000498129,-2.67E-05,-5.61E-06,-0.000101277,-4.66E-05,0.000701516,-4.38E-05,1.01E-05,0.000709445,-0.000165448,0.003909779,0.001850417,0.003063076,0.000905867,9.27E-06,2.12E-05,2.96E-05,-5.28E-05,-0.001499527,0.000227207,-4.47E-06,0.003682563,1.92E-05,-5.63E-06,-0.000253648,-0.000110172,-0.000531703,4.42E-05,2.47E-05,0.010339473,0.000451184,0.00037637,-4.48E-05,0.000188096,0.00987735,0.001174728,0.001577787,0.00037202,-3.63E-06,1.55E-05,-5.26E-05,1.30E-05,-0.00090128,-0.000204412,2.23E-05,0.006357773,-6.27E-05,8.46E-05,-0.000503862,-0.000261491,1.70E-05,-0.00360969,5.46E-05,0.00393522,6.98E-05,7.89E-05,-0.000126048,7.57E-05,0.000304857,0.000245069,-0.001655122,0.006673943,-9.56E-06,-5.14E-06,-0.000663942,-1.35E-05,0.001104154,-0.005530041,0.00010879
CD*BT,-0.534038619,0.020345462,7.43E-152,-7.62E-06,2.88E-05,-2.33E-05,-0.000187307,-6.51E-07,-1.55E-06,-4.32E-05,-2.05E-05,2.69E-05,5.56E-05,4.33E-06,-2.73E-05,1.14E-05,-0.000234844,0.000144817,-5.81E-05,5.19E-05,-2.01E-05,-2.59E-05,3.25E-06,-5.88E-05,-0.000791738,0.000370162,3.97E-05,8.55E-05,7.23E-05,2.12E-06,-9.58E-06,7.29E-06,0.000756094,-6.82E-05,4.59E-05,0.000451184,0.000413938,0.000151938,0.000121133,8.83E-05,0.004287691,0.000680858,0.000746266,2.02E-05,-1.54E-05,-6.52E-06,-4.15E-06,-3.29E-06,-3.50E-05,-0.000129127,2.12E-05,-3.40E-05,0.000148073,1.20E-05,-8.48E-05,1.28E-06,4.84E-06,-0.000423028,7.59E-05,0.000118115,0.000103161,4.11E-05,2.11E-05,2.65E-05,0.00043935,0.000156626,6.59E-06,-0.000183004,9.33E-05,1.13E-05,-0.00011201,4.48E-05,0.001168714,-0.001335011,4.53E-05
CD*BU,-0.355915551,0.022096379,2.26E-58,1.22E-05,1.13E-05,-5.24E-06,-0.000175989,-1.09E-05,-2.69E-06,-3.81E-05,-2.57E-05,-8.99E-05,-9.81E-06,4.67E-05,-4.58E-05,-3.99E-06,-0.001645729,0.000149681,0.0001692,0.000139801,-1.23E-05,-1.97E-05,2.62E-05,-5.82E-05,0.000422192,0.000438346,0.000157344,0.000307334,-5.84E-06,3.52E-06,0.000236994,-0.00010245,0.001063743,0.000588028,0.000322537,0.00037637,0.000151938,0.00048825,3.86E-05,9.49E-05,0.003258665,0.000629103,0.000552385,2.34E-06,5.35E-06,4.01E-05,1.71E-05,2.74E-06,-8.31E-07,-0.000170698,4.28E-05,-4.41E-05,-3.03E-05,0.000118222,-0.000159682,-1.55E-05,8.19E-06,-0.000615671,1.13E-05,6.26E-05,1.55E-05,0.000164745,-5.06E-06,3.36E-05,1.02E-05,0.000127583,-6.70E-05,-0.000165919,-1.62E-05,0.00023786,-0.000174295,2.34E-05,-6.43E-05,-0.000426419,5.19E-05
CD*CD,-1.000225078,0.021202264,0,-4.86E-06,-4.89E-06,-2.32E-05,-0.000131661,3.17E-06,-1.61E-06,-3.19E-05,-5.19E-06,7.82E-05,8.78E-06,-2.25E-06,3.70E-05,4.64E-06,-0.000764895,-0.000175913,-0.000149952,-1.25E-05,9.15E-06,-3.91E-07,2.38E-05,7.09E-06,-0.000392685,-0.000568567,-9.22E-05,-4.32E-05,1.52E-05,2.51E-05,9.41E-05,1.11E-05,0.000410619,-0.000568604,-8.17E-05,-4.48E-05,0.000121133,3.86E-05,0.000449536,-4.26E-05,0.001563205,-9.06E-05,0.000334387,6.53E-06,-1.65E-05,-1.16E-05,1.89E-05,-8.37E-06,-4.73E-05,-0.000132483,1.35E-06,-0.000134803,-1.52E-05,8.07E-06,8.18E-05,1.07E-05,5.06E-06,-0.000457911,-0.000137157,-6.43E-05,3.11E-05,2.54E-05,4.92E-05,2.83E-05,3.60E-05,0.000115176,-0.000139213,-0.000151358,7.41E-07,-2.93E-05,8.59E-05,-3.41E-05,0.000739559,-0.000671244,1.07E-05
