,species,alpha,ini,cost,success
0,BT,0.001,"[1.751051630467653, -0.7246930423351403]",0.0466123629763546,True
1,BT,0.001,"[1.3458228426760899, -1.2228656005150382]",0.04661236291424155,True
2,BT,0.001,"[1.9871288484875371, -1.3573001326799654]",0.04661236291596145,True
3,BT,0.001,"[1.8944982183940007, -1.9430772432281715]",0.04661236291424177,True
4,BT,0.001,"[1.6422671299097746, -1.4896225341371667]",0.04661236297639574,True
5,BT,0.001,"[0.7543407880094254, -0.41695235121435137]",0.04661236291424115,True
6,BT,0.001,"[0.45880708337599574, -0.5418456798756592]",0.04661236291424201,True
7,BT,0.001,"[0.5843882627776176, -1.1357870449636507]",0.04661236291596884,True
8,BT,0.001,"[1.0375966601709323, -0.05862822091645126]",0.1474578285628553,False
9,BT,0.001,"[0.9861037634676985, -0.16199748570724215]",0.04661236291424279,True
10,BT,0.001,"[0.3915466579689513, -0.8582867687454152]",0.04661236291597378,True
11,BT,0.001,"[1.1132517660923897, -0.21703947340502916]",0.046612362914242936,True
12,BT,0.001,"[0.24175481539699342, -0.3720994256033143]",0.04661236291424232,True
13,BT,0.001,"[0.17082813259505475, -0.9252519204649086]",0.0466123629763209,True
14,BT,0.001,"[0.0675156939645129, -1.6120946272257766]",0.04661236297636557,True
15,BT,0.001,"[1.5864106382073104, -0.6354092235180917]",0.0466123629159757,True
16,BT,0.001,"[1.4697094461617475, -1.7596068149577517]",0.04661236297628524,True
17,BT,0.001,"[1.2750442567855267, -1.0223025429008887]",0.04661236291595777,True
18,BT,0.001,"[0.8018135718648278, -1.888465949387544]",0.046612362914242055,True
19,BT,0.001,"[0.6013374519653201, -1.5685619808430529]",0.0466123629142421,True
20,BT,0.003,"[1.751051630467653, -0.7246930423351403]",0.049585843046768524,True
21,BT,0.003,"[1.3458228426760899, -1.2228656005150382]",0.04958584304676863,True
22,BT,0.003,"[1.9871288484875371, -1.3573001326799654]",0.04958584304676866,True
23,BT,0.003,"[1.8944982183940007, -1.9430772432281715]",0.049585843046768135,True
24,BT,0.003,"[1.6422671299097746, -1.4896225341371667]",0.04958584304676945,True
25,BT,0.003,"[0.7543407880094254, -0.41695235121435137]",0.04958584304848504,True
26,BT,0.003,"[0.45880708337599574, -0.5418456798756592]",0.049585843048498966,True
27,BT,0.003,"[0.5843882627776176, -1.1357870449636507]",0.049585843046767976,True
28,BT,0.003,"[1.0375966601709323, -0.05862822091645126]",0.14853735404446847,False
29,BT,0.003,"[0.9861037634676985, -0.16199748570724215]",0.049585843046768656,True
