Species,gLV Pearson,HOI Pearson,Z statistic,p-value
BT,0.8735317834799429,0.7006569039708894,5.220638111631361,1.783076724048982e-07
BU,0.9079287667998035,0.8779405376151163,1.6591273259388268,0.09709013796207633
BV,0.8757026877094418,0.8764531743195847,-0.03554619130958847,0.9716442142902095
CA,0.5866908936900046,0.5363392863157025,0.6234429418082094,0.5329934865462265
CD,0.7831288987994223,0.7794234368540813,0.13088667094106227,0.8958649590169567
CH,0.24719705758778712,-0.0487326543637992,1.956659068103597,0.05038756531463662
CS,0.2750536380983861,0.21049376684022503,0.6181748212210598,0.5364601055798488
DP,0.9158236751569022,0.8323940648909516,4.187575918806429,2.8194972145678676e-05
