Time,Sample,Replicate,CD,DP,CA,PC,CS,CH,BU,BT,PV,EL
35,DP,2,0,0.217833325,0,0,0,0,0,0,0,0
1,EL,1,0,0,0,0,0,0,0,0,0,0.231466666
1,EL,2,0,0,0,0,0,0,0,0,0,0.222766653
1,EL,3,0,0,0,0,0,0,0,0,0,0.222666666
7,EL,1,0,0,0,0,0,0,0,0,0,0.132166659
7,EL,2,0,0,0,0,0,0,0,0,0,0.088666668
7,EL,3,0,0,0,0,0,0,0,0,0,0.05566666
14,EL,2,0,0,0,0,0,0,0,0,0,0.102033333
14,EL,3,0,0,0,0,0,0,0,0,0,0.104433333
21,EL,2,0,0,0,0,0,0,0,0,0,0.1492
21,EL,3,0,0,0,0,0,0,0,0,0,0.1401
28,EL,2,0,0,0,0,0,0,0,0,0,0.082400004
28,EL,3,0,0,0,0,0,0,0,0,0,0.060400004
35,EL,2,0,0,0,0,0,0,0,0,0,0.207933322
35,EL,3,0,0,0,0,0,0,0,0,0,0.206033334
1,PC,1,0,0,0,0.032666668,0,0,0,0,0,0
1,PC,2,0,0,0,0.032366663,0,0,0,0,0,0
1,PC,3,0,0,0,0.033266664,0,0,0,0,0,0
7,PC,1,0,0,0,-0.003733332,0,0,0,0,0,0
7,PC,2,0,0,0,-0.004033337,0,0,0,0,0,0
7,PC,3,0,0,0,-0.003233331,0,0,0,0,0,0
14,PC,1,0,0,0,-0.046766667,0,0,0,0,0,0
14,PC,2,0,0,0,-0.040066667,0,0,0,0,0,0
14,PC,3,0,0,0,-0.043866667,0,0,0,0,0,0
21,PC,1,0,0,0,-0.0165,0,0,0,0,0,0
21,PC,2,0,0,0,-0.0174,0,0,0,0,0,0
21,PC,3,0,0,0,-0.0162,0,0,0,0,0,0
28,PC,1,0,0,0,0.0016,0,0,0,0,0,0
28,PC,2,0,0,0,0.000800001,0,0,0,0,0,0
28,PC,3,0,0,0,1.00E-04,0,0,0,0,0,0
35,PC,1,0,0,0,0.03283333,0,0,0,0,0,0
35,PC,2,0,0,0,0.031133331,0,0,0,0,0,0
35,PC,3,0,0,0,0.033033334,0,0,0,0,0,0
1,CD_BT,1,0.175000869762782,0,0,0,0,0,0,1.05986582423722,0,0
1,CD_BT,2,0.169878730550151,0,0,0,0,0,0,1.06268793944985,0,0
1,CD_BT,3,0.168655374720032,0,0,0,0,0,0,1.07081124727997,0,0
7,CD_BT,1,0.001055702255689,0,0,0,0,0,0,0.807410975608704,0,0
7,CD_BT,2,0.001459640142459,0,0,0,0,0,0,0.889707051836314,0,0
7,CD_BT,3,0.001367670096975,0,0,0,0,0,0,0.857399009865501,0,0
14,CD_BT,1,0.000265054078295,0,0,0,0,0,0,1.23276827892171,0,0
14,CD_BT,2,0.000237716496269,0,0,0,0,0,0,1.23279561650373,0,0
14,CD_BT,3,0.000298132776719,0,0,0,0,0,0,1.22383520022328,0,0
21,CD_BT,1,0.000937093536,0,0,0,0,0,0,1.295062906464,0,0
21,CD_BT,2,0.0001679806848,0,0,0,0,0,0,1.2862320193152,0,0
21,CD_BT,3,0.0013110935046,0,0,0,0,0,0,1.2248889064954,0,0
28,CD_BT,1,0.000392641462564,0,0,0,0,0,0,1.07740735953744,0,0
28,CD_BT,2,0.000160650843077,0,0,0,0,0,0,1.08503938615692,0,0
28,CD_BT,3,0.000622181140691,0,0,0,0,0,0,1.07927781085931,0,0
35,CD_BT,1,0.000355445242726,0,0,0,0,0,0,0.963077894757274,0,0
35,CD_BT,2,0.000720622081753,0,0,0,0,0,0,0.960012746918247,0,0
35,CD_BT,3,0.000173153154411,0,0,0,0,0,0,0.971560133845589,0,0
1,CD_BU,1,0.468930551494336,0,0,0,0,0,0.646636134505664,0,0,0
1,CD_BU,2,0.490802206046519,0,0,0,0,0,0.625364459953481,0,0,0
1,CD_BU,3,0.511428257143245,0,0,0,0,0,0.618738466856756,0,0,0
7,CD_BU,1,0.368994024062369,0,0,0,0,0,0.095372655327902,0,0,0
7,CD_BU,2,0.407171475811432,0,0,0,0,0,0.074995177066693,0,0,0
7,CD_BU,3,0.380714026139175,0,0,0,0,0,0.089252628837034,0,0,0
14,CD_BU,1,0.534412791286012,0,0,0,0,0,0.115120541713988,0,0,0
14,CD_BU,2,0.519135600523718,0,0,0,0,0,0.102697732476282,0,0,0
14,CD_BU,3,0.501089729890109,0,0,0,0,0,0.109643603109891,0,0,0
21,CD_BU,1,0.558408976273,0,0,0,0,0,0.290991023727,0,0,0
21,CD_BU,2,0.575192714558,0,0,0,0,0,0.271807285442,0,0,0
