Treatments,Time,CA,BT,BU,CD,BV,CS,DP,CH
CA_1,24,0.415700013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_2,0,0.014500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_2,3,0.019800002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_2,6,0.024699996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_2,9,0.028700004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_2,12,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_2,15,0.035900007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_2,18,0.061699996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_2,21,0.251399989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_2,24,0.540599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_3,0,0.008400003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_3,3,0.013700003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_3,6,0.018000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_3,9,0.021600003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_3,12,0.023400004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_3,15,0.025499995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_3,18,0.032100002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_3,21,0.092399995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_3,24,0.48830002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDanc_1,0,0.0,0.0,0.0,0.009799997,0.0,0.0,0.0,0.0
CDanc_1,3,0.0,0.0,0.0,0.019000004,0.0,0.0,0.0,0.0
CDanc_1,6,0.0,0.0,0.0,0.194800014,0.0,0.0,0.0,0.0
CDanc_1,9,0.0,0.0,0.0,0.633899982,0.0,0.0,0.0,0.0
CDanc_1,12,0.0,0.0,0.0,0.619000013,0.0,0.0,0.0,0.0
CDanc_2,0,0.0,0.0,0.0,0.011100004,0.0,0.0,0.0,0.0
CDanc_2,3,0.0,0.0,0.0,0.027000005,0.0,0.0,0.0,0.0
CDanc_2,6,0.0,0.0,0.0,0.24439999,0.0,0.0,0.0,0.0
CDanc_2,9,0.0,0.0,0.0,0.600199992,0.0,0.0,0.0,0.0
CDanc_2,12,0.0,0.0,0.0,0.611299987,0.0,0.0,0.0,0.0
CDanc_3,0,0.0,0.0,0.0,0.004900003,0.0,0.0,0.0,0.0
CDanc_3,3,0.0,0.0,0.0,0.014800007,0.0,0.0,0.0,0.0
CDanc_3,6,0.0,0.0,0.0,0.203999991,0.0,0.0,0.0,0.0
CDanc_3,9,0.0,0.0,0.0,0.613499994,0.0,0.0,0.0,0.0
CDanc_3,12,0.0,0.0,0.0,0.59390002,0.0,0.0,0.0,0.0
CH_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006800006
CH_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015300001
CH_1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039200003
CH_1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176899994
CH_1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616399998
CH_1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645099993
CH_1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584699983
CH_1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528599973
CH_1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483099992
CH_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009599994
CH_2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018699999
