Treatments,Time,CD,CA,EL,DP,BU,PV,CDEVO
CD_CA_1,5,0.354016813,0.568449853,0.0,0.0,0.0,0.0,0.0
CD_CA_1,6,0.349219139,0.56018087,0.0,0.0,0.0,0.0,0.0
CD_CA_1,7,0.366106633,0.554860007,0.0,0.0,0.0,0.0,0.0
CD_CA_1,8,0.322094406,0.713238934,0.0,0.0,0.0,0.0,0.0
CD_CA_2,0,0.10999999999999999,0.10999999999999999,0.0,0.0,0.0,0.0,0.0
CD_CA_2,1,0.784297407,0.26523597,0.0,0.0,0.0,0.0,0.0
CD_CA_2,2,0.768360143,0.171306524,0.0,0.0,0.0,0.0,0.0
CD_CA_2,3,0.514886874,0.041513142,0.0,0.0,0.0,0.0,0.0
CD_CA_2,4,0.416305421,0.455194594,0.0,0.0,0.0,0.0,0.0
CD_CA_3,0,0.10999999999999999,0.10999999999999999,0.0,0.0,0.0,0.0,0.0
CD_CA_3,1,0.585731746,0.225901612,0.0,0.0,0.0,0.0,0.0
CD_CA_3,2,0.757339629,0.195627004,0.0,0.0,0.0,0.0,0.0
CD_CA_3,3,0.442940172,0.059559841,0.0,0.0,0.0,0.0,0.0
CD_CA_3,4,0.589236038,0.078163964,0.0,0.0,0.0,0.0,0.0
CD_CA_3,5,0.464969446,0.367997209,0.0,0.0,0.0,0.0,0.0
CD_CA_3,6,0.357667132,0.452332893,0.0,0.0,0.0,0.0,0.0
CD_CA_3,7,0.407384899,0.453181792,0.0,0.0,0.0,0.0,0.0
CD_CA_3,8,0.60350585,0.627127473,0.0,0.0,0.0,0.0,0.0
CD_DP_1,0,0.10999999999999999,0.0,0.0,0.10999999999999999,0.0,0.0,0.0
CD_DP_1,1,0.471547059,0.0,0.0,0.223086256,0.0,0.0,0.0
CD_DP_1,2,0.284712198,0.0,0.0,0.308854461,0.0,0.0,0.0
CD_DP_1,3,0.116285717,0.0,0.0,0.423914293,0.0,0.0,0.0
CD_DP_2,0,0.10999999999999999,0.0,0.0,0.10999999999999999,0.0,0.0,0.0
CD_DP_2,1,0.482634847,0.0,0.0,0.222998505,0.0,0.0,0.0
CD_DP_2,2,0.323605819,0.0,0.0,0.272560854,0.0,0.0,0.0
CD_DP_2,3,0.130095345,0.0,0.0,0.538704666,0.0,0.0,0.0
CD_DP_2,4,0.244113609,0.0,0.0,0.492586389,0.0,0.0,0.0
CD_DP_2,5,0.145321383,0.0,0.0,0.404445307,0.0,0.0,0.0
CD_DP_2,6,0.127578126,0.0,0.0,0.397821879,0.0,0.0,0.0
CD_DP_2,7,0.686594818,0.0,0.0,0.297971826,0.0,0.0,0.0
CD_DP_2,8,0.368969562,0.0,0.0,0.128263774,0.0,0.0,0.0
CD_DP_3,0,0.10999999999999999,0.0,0.0,0.10999999999999999,0.0,0.0,0.0
CD_DP_3,1,0.49767301,0.0,0.0,0.199460303,0.0,0.0,0.0
CD_DP_3,2,0.284751984,0.0,0.0,0.274114698,0.0,0.0,0.0
