CS<-[CA*BU],0.87906414
CS<-[CA*CD],-0.47276908
CS<-[CA*BV],0.2144956
CS<-[CA*DP],-1.7569568
CS<-[CA*CH],0.05817939
CS<-[BT*BU],-0.41271383
CS<-[BT*CD],0.30746138
CS<-[BT*BV],-0.3840696
CS<-[BT*DP],-1.8270313
CS<-[BT*CH],3.3698666
CS<-[BU*CD],-0.52247053
CS<-[BU*BV],-0.9930652
CS<-[BU*DP],-0.70237136
CS<-[BU*CH],-2.9956715
CS<-[CD*BV],-0.029892677
CS<-[CD*DP],-1.057246
CS<-[CD*CH],-0.088428974
CS<-[BV*DP],1.9601359
CS<-[BV*CH],-1.0552436
CS<-[DP*CH],0.12884647
DP<-[CA*BT],-0.27418092
DP<-[CA*BU],0.12943701
DP<-[CA*CD],-0.058751
DP<-[CA*BV],-0.18927276
DP<-[CA*CS],3.874224
DP<-[CA*CH],-0.39905936
DP<-[BT*BU],-0.41520625
DP<-[BT*CD],-0.25524205
DP<-[BT*BV],0.045082178
DP<-[BT*CS],-3.1584442
DP<-[BT*CH],-7.172207
DP<-[BU*CD],0.29534552
DP<-[BU*BV],0.5384041
DP<-[BU*CS],1.5941525
DP<-[BU*CH],-3.6329281
DP<-[CD*BV],0.17533672
DP<-[CD*CS],-2.8787673
DP<-[CD*CH],0.6076748
DP<-[BV*CS],1.0386035
DP<-[BV*CH],-0.12990886
DP<-[CS*CH],-1.49026
CH<-[CA*BT],-1.0842327
CH<-[CA*BU],-1.2327656
CH<-[CA*CD],-0.0849483
CH<-[CA*BV],-1.9630238
CH<-[CA*CS],-4.5806026
CH<-[CA*DP],-1.5734329
CH<-[BT*BU],-0.5394879
CH<-[BT*CD],0.19072637
CH<-[BT*BV],0.14264259
CH<-[BT*CS],-4.4002666
CH<-[BT*DP],2.864482
CH<-[BU*CD],0.69333696
CH<-[BU*BV],-1.0357597
CH<-[BU*CS],-0.7660742
CH<-[BU*DP],-2.4574256
CH<-[CD*BV],2.2858589
CH<-[CD*CS],-1.8851608
CH<-[CD*DP],-0.3308088
CH<-[BV*CS],3.1845057
CH<-[BV*DP],-2.7522614
CH<-[CS*DP],-7.1519213
