k,L1
0.0,1e-05
1.0,1e-05
2.0,1e-05
3.0,1e-07
4.0,1e-05
5.0,1e-05
6.0,1e-06
7.0,1e-06
8.0,1e-06
9.0,1e-05
10.0,1e-05
11.0,1e-08
12.0,1e-05
13.0,1e-07
14.0,1e-05
15.0,1e-07
16.0,1e-06
17.0,1e-07
18.0,1e-05
19.0,1e-05
