Treatments,Time,CA,BT,BU,CD,BV,CS,DP,CH
CDevo-CH-DP-BT-BU_2,12,0.0,0.858512579,0.274005202,0.020286389,0.0,0.0,0.009355823,0.007040025
CDevo-CH-DP-BT-BU_2,24,0.0,0.832705696,0.238929399,0.047127114,0.0,0.0,0.009881492,0.01925624
CDevo-CH-DP-BT-BU_3,0,0.0,0.002,0.002,0.002,0.0,0.0,0.002,0.002
CDevo-CH-DP-BT-BU_3,12,0.0,0.88791679,0.247220497,0.019327623,0.0,0.0,0.0072118,0.006923328
CDevo-CH-DP-BT-BU_3,24,0.0,0.827532083,0.245617287,0.033629751,0.0,0.0,0.007806906,0.01581399
CDevo-CH_1,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005
CDevo-CH_1,12,0.0,0.0,0.0,0.579840215,0.0,0.0,0.0,0.029559775
CDevo-CH_1,24,0.0,0.0,0.0,0.504168348,0.0,0.0,0.0,0.022831677
CDevo-CH_2,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005
CDevo-CH_2,12,0.0,0.0,0.0,0.578907129,0.0,0.0,0.0,0.050792891
CDevo-CH_2,24,0.0,0.0,0.0,0.508725494,0.0,0.0,0.0,0.021474526
CDevo-CH_3,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005
CDevo-CH_3,12,0.0,0.0,0.0,0.581501824,0.0,0.0,0.0,0.0298982
CDevo-CH_3,24,0.0,0.0,0.0,0.490251132,0.0,0.0,0.0,0.022948868
CDevo-CS-BT-BU-BV_1,0,0.0,0.002,0.002,0.002,0.002,0.002,0.0,0.0
CDevo-CS-BT-BU-BV_1,12,0.0,0.772753563,0.302555251,0.008915936,0.093030754,0.005044543,0.0,0.0
CDevo-CS-BT-BU-BV_1,24,0.0,0.773361724,0.275869285,0.023708523,0.074475687,0.006184832,0.0,0.0
CDevo-CS-BT-BU-BV_2,0,0.0,0.002,0.002,0.002,0.002,0.002,0.0,0.0
CDevo-CS-BT-BU-BV_2,12,0.0,0.763692323,0.322287884,0.009443306,0.069469074,0.004207414,0.0,0.0
CDevo-CS-BT-BU-BV_2,24,0.0,0.779959385,0.287300215,0.03012381,0.06125924,0.005957321,0.0,0.0
CDevo-CS-BT-BU-BV_3,0,0.0,0.002,0.002,0.002,0.002,0.002,0.0,0.0
CDevo-CS-BT-BU-BV_3,12,0.0,0.749627747,0.303034046,0.010682495,0.097450517,0.004905227,0.0,0.0
CDevo-CS-BT-BU-BV_3,24,0.0,0.776916422,0.302460443,0.024331076,0.050619824,0.006572187,0.0,0.0
CDevo-CS-BT-BU-CA_1,0,0.002,0.002,0.002,0.002,0.0,0.002,0.0,0.0
CDevo-CS-BT-BU-CA_1,12,0.019645028,0.828283494,0.327908259,0.013587811,0.0,0.005975363,0.0,0.0
CDevo-CS-BT-BU-CA_1,24,0.027251186,0.882854138,0.263100366,0.015873113,0.0,0.006321151,0.0,0.0
CDevo-CS-BT-BU-CA_2,0,0.002,0.002,0.002,0.002,0.0,0.002,0.0,0.0
CDevo-CS-BT-BU-CA_2,12,0.018056481,0.826758062,0.348465573,0.012500641,0.0,0.005719247,0.0,0.0
CDevo-CS-BT-BU-CA_2,24,0.022118884,0.860529916,0.278943704,0.020890057,0.0,0.005617494,0.0,0.0
CDevo-CS-BT-BU-CA_3,0,0.002,0.002,0.002,0.002,0.0,0.002,0.0,0.0
CDevo-CS-BT-BU-CA_3,12,0.017349556,0.852278387,0.334609166,0.008526491,0.0,0.003336453,0.0,0.0
CDevo-CS-BT-BU-CA_3,24,0.022025087,0.881313703,0.272366572,0.02357615,0.0,0.005118506,0.0,0.0
CDevo-CS-BT-BV-CA_1,0,0.002,0.002,0.0,0.002,0.002,0.002,0.0,0.0
CDevo-CS-BT-BV-CA_1,12,0.011259964,0.960895447,0.0,0.013430559,0.218144837,0.005969137,0.0,0.0
CDevo-CS-BT-BV-CA_2,0,0.002,0.002,0.0,0.002,0.002,0.002,0.0,0.0
CDevo-CS-BT-BV-CA_2,12,0.009253184,0.991800465,0.0,0.013376885,0.199144602,0.004324858,0.0,0.0
CDevo-CS-BT-BV-CA_2,24,0.012016579,1.026253112,0.0,0.01993448,0.106658783,0.004937044,0.0,0.0
CDevo-CS-BT-BV-CA_3,0,0.002,0.002,0.0,0.002,0.002,0.002,0.0,0.0
CDevo-CS-BT-BV-CA_3,12,0.011544468,1.019645597,0.0,0.013454079,0.169694998,0.004860829,0.0,0.0
CDevo-CS-BT-BV-CA_3,24,0.009955922,1.028318613,0.0,0.023854784,0.093841959,0.004928674,0.0,0.0
CDevo-CS-BV-CA_1,0,0.0025,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0
CDevo-CS-BV-CA_1,12,0.041974781,0.0,0.0,0.158995384,1.014814539,0.025015274,0.0,0.0
CDevo-CS-BV-CA_1,24,0.083779507,0.0,0.0,0.094627996,1.016202579,0.009389869,0.0,0.0
CDevo-CS-BV-CA_2,0,0.0025,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0
CDevo-CS-BV-CA_2,12,0.053057062,0.0,0.0,0.168906428,0.95591952,0.030016992,0.0,0.0
CDevo-CS-BV-CA_2,24,0.071641759,0.0,0.0,0.061398459,1.044019155,0.011040682,0.0,0.0
CDevo-CS-BV-CA_3,0,0.0025,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0
CDevo-CS-BV-CA_3,12,0.04890588,0.0,0.0,0.169511275,1.000212587,0.028470209,0.0,0.0
CDevo-CS-BV-CA_3,24,0.09418502,0.0,0.0,0.085951135,1.014733358,0.01243051,0.0,0.0
CDevo-CS-CA_1,0,0.003333333,0.0,0.0,0.003333333,0.0,0.003333333,0.0,0.0
CDevo-CS-CA_1,12,0.2284982,0.0,0.0,0.475892203,0.0,0.037509579,0.0,0.0
CDevo-CS-CA_2,0,0.003333333,0.0,0.0,0.003333333,0.0,0.003333333,0.0,0.0
CDevo-CS-CA_2,12,0.263911936,0.0,0.0,0.45115825,0.0,0.040829794,0.0,0.0
CDevo-CS-CA_2,24,0.20837461,0.0,0.0,0.446825018,0.0,0.039400373,0.0,0.0
CDevo-CS-CA_3,0,0.003333333,0.0,0.0,0.003333333,0.0,0.003333333,0.0,0.0
CDevo-CS-CA_3,12,0.307476633,0.0,0.0,0.436716867,0.0,0.042006502,0.0,0.0
CDevo-CS-CA_3,24,0.396389354,0.0,0.0,0.310918563,0.0,0.029692086,0.0,0.0
CDevo-CS-CH-CA_1,0,0.0025,0.0,0.0,0.0025,0.0,0.0025,0.0,0.0025
CDevo-CS-CH-CA_1,12,0.234894466,0.0,0.0,0.4381171,0.0,0.025076009,0.0,0.03161241
CDevo-CS-CH-CA_1,24,0.283273166,0.0,0.0,0.449947337,0.0,0.015395281,0.0,0.023984227
CDevo-CS-CH-CA_2,0,0.0025,0.0,0.0,0.0025,0.0,0.0025,0.0,0.0025
CDevo-CS-CH-CA_2,12,0.249044746,0.0,0.0,0.422158629,0.0,0.024433618,0.0,0.032662997
CDevo-CS-CH-CA_2,24,0.289788964,0.0,0.0,0.461903928,0.0,0.016477853,0.0,0.029229267
CDevo-CS-CH-CA_3,0,0.0025,0.0,0.0,0.0025,0.0,0.0025,0.0,0.0025
CDevo-CS-CH-CA_3,12,0.22348112,0.0,0.0,0.436198485,0.0,0.020106551,0.0,0.029413824
CDevo-CS-CH-CA_3,24,0.272868693,0.0,0.0,0.464971666,0.0,0.013555749,0.0,0.031803872
CDevo-CS-CH-DP-BT-BU-BV-CA_1,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125
CDevo-CS-CH-DP-BT-BU-BV-CA_1,12,0.013541418,0.828097532,0.294247045,0.010514513,0.031224917,0.003026905,0.008762094,0.012585553
CDevo-CS-CH-DP-BT-BU-BV-CA_1,24,0.025340743,0.784371802,0.254706955,0.021442167,0.04104334,0.005847864,0.008446914,0.022200224
CDevo-CS-CH-DP-BT-BU-BV-CA_2,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125
CDevo-CS-CH-DP-BT-BU-BV-CA_2,12,0.016488722,0.8063941,0.297752867,0.010992481,0.033455378,0.005974175,0.010634031,0.016608206
CDevo-CS-CH-DP-BT-BU-BV-CA_2,24,0.027351816,0.788120911,0.241831905,0.015843128,0.046931532,0.003288196,0.008220491,0.02451201
CDevo-CS-CH-DP-BT-BU-BV-CA_3,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125
CDevo-CS-CH-DP-BT-BU-BV-CA_3,12,0.014444946,0.79494823,0.310963175,0.012540118,0.026350121,0.003968392,0.010159083,0.016825981
CDevo-CS-CH-DP-BT-BU-BV-CA_3,24,0.037926533,0.774598773,0.26881516,0.013607229,0.032570496,0.004921764,0.008830223,0.024029788
CDevo-CS-CH-DP-BU-BV_1,0,0.0,0.0,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667
CDevo-CS-CH-DP-BU-BV_1,12,0.0,0.0,0.653235768,0.080839556,0.29410278,0.009371521,0.020943312,0.057207025
CDevo-CS-CH-DP-BU-BV_1,24,0.0,0.0,0.436433053,0.058245625,0.556420528,0.006248573,0.013761738,0.028490516
CDevo-CS-CH-DP-BU-BV_2,0,0.0,0.0,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667
CDevo-CS-CH-DP-BU-BV_2,12,0.0,0.0,0.75424715,0.089265132,0.200383553,0.011111842,0.021729825,0.0492625
CDevo-CS-CH-DP-BU-BV_2,24,0.0,0.0,0.467967684,0.070109775,0.525220652,0.007332398,0.012555476,0.025814058
CDevo-CS-CH-DP-BU-BV_3,0,0.0,0.0,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667
CDevo-CS-CH-DP-BU-BV_3,12,0.0,0.0,0.742593068,0.084977846,0.238504487,0.011783595,0.019828164,0.052912872
CDevo-CS-CH-DP-BU-BV_3,24,0.0,0.0,0.466399553,0.059024167,0.539998706,0.005250616,0.013307596,0.025619385
CDevo-CS-CH-DP_1,0,0.0,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0025
CDevo-CS-CH-DP_1,12,0.0,0.0,0.0,0.380183388,0.0,0.028234417,0.172603448,0.033678722
