Treatments,species,true,pred,stdv,n,passage
CD_BT_EL,CH,0.0,0.0,0.0,13,8
CD_BT_EL,BU,0.0,0.0,0.0,13,8
CD_BT_EL,BT,0.9584792563333333,1.491188522426989,0.43871469243249694,13,8
CD_BT_EL,PV,0.0,0.0,0.0,13,8
CD_BT_EL,EL,0.0010397253333333334,0.11914225821984248,0.04930021625942124,13,8
CD_BT_EL,CD,0.045284000666666664,0.22361256069967872,0.16755213474703898,13,15
CD_BT_EL,DP,0.0,0.0,0.0,13,15
CD_BT_EL,CA,0.0,0.0,0.0,13,15
CD_BT_EL,PC,0.0,0.0,0.0,13,15
CD_BT_EL,CS,0.0,0.0,0.0,13,15
CD_BT_EL,CH,0.0,0.0,0.0,13,15
CD_BT_EL,BU,0.0,0.0,0.0,13,15
CD_BT_EL,BT,1.2743031089999999,1.4911896299132035,0.43870963730312057,13,15
CD_BT_EL,PV,0.0,0.0,0.0,13,15
CD_BT_EL,EL,0.007346223666666666,0.1191421848093107,0.0493003833030812,13,15
CD_BT_EL,CD,0.04805578033333333,0.22361255197740673,0.1675521192994489,13,22
CD_BT_EL,DP,0.0,0.0,0.0,13,22
CD_BT_EL,CA,0.0,0.0,0.0,13,22
CD_BT_EL,PC,0.0,0.0,0.0,13,22
CD_BT_EL,CS,0.0,0.0,0.0,13,22
CD_BT_EL,CH,0.0,0.0,0.0,13,22
CD_BT_EL,BU,0.0,0.0,0.0,13,22
CD_BT_EL,BT,1.3022763750000002,1.4911920819265028,0.4387127199793306,13,22
CD_BT_EL,PV,0.0,0.0,0.0,13,22
CD_BT_EL,EL,0.0012345113333333331,0.11914218494050531,0.049300382725563495,13,22
CD_BT_EL,CD,0.034033437666666666,0.22361257432034695,0.1675521588735951,13,29
CD_BT_EL,DP,0.0,0.0,0.0,13,29
CD_BT_EL,CA,0.0,0.0,0.0,13,29
CD_BT_EL,PC,0.0,0.0,0.0,13,29
CD_BT_EL,CS,0.0,0.0,0.0,13,29
CD_BT_EL,CH,0.0,0.0,0.0,13,29
CD_BT_EL,BU,0.0,0.0,0.0,13,29
CD_BT_EL,BT,1.0953943739999998,1.4911872044463703,0.43870512768531295,13,29
CD_BT_EL,PV,0.0,0.0,0.0,13,29
CD_BT_EL,EL,0.00507218,0.119142185209013,0.04930038419782351,13,29
CD_BT_EL,CD,0.11973664833333335,0.22361257891023842,0.1675521670012084,13,36
CD_BT_EL,DP,0.0,0.0,0.0,13,36
CD_BT_EL,CA,0.0,0.0,0.0,13,36
CD_BT_EL,PC,0.0,0.0,0.0,13,36
CD_BT_EL,CS,0.0,0.0,0.0,13,36
CD_BT_EL,CH,0.0,0.0,0.0,13,36
CD_BT_EL,BU,0.0,0.0,0.0,13,36
CD_BT_EL,BT,1.0525354293333333,1.4911863065692972,0.43870359072306186,13,36
CD_BT_EL,PV,0.0,0.0,0.0,13,36
CD_BT_EL,EL,0.03169461466666667,0.11914218530967945,0.049300384497764804,13,36
CD_BT_PV,CD,0.0018333330000000001,0.001833333,2.28569887277129e-19,10,1
CD_BT_PV,DP,0.0,0.0,0.0,10,1
CD_BT_PV,CA,0.0,0.0,0.0,10,1
CD_BT_PV,PC,0.0,0.0,0.0,10,1
CD_BT_PV,CS,0.0,0.0,0.0,10,1
CD_BT_PV,CH,0.0,0.0,0.0,10,1
CD_BT_PV,BU,0.0,0.0,0.0,10,1
CD_BT_PV,BT,0.0018333330000000001,0.001833333,2.28569887277129e-19,10,1
CD_BT_PV,PV,0.0018333330000000001,0.001833333,2.28569887277129e-19,10,1
CD_BT_PV,EL,0.0,0.0,0.0,10,1
CD_BT_PV,CD,0.23617470966666665,0.11339305885000686,0.1240264191083419,10,2
CD_BT_PV,DP,0.0,0.0,0.0,10,2
CD_BT_PV,CA,0.0,0.0,0.0,10,2
CD_BT_PV,PC,0.0,0.0,0.0,10,2
CD_BT_PV,CS,0.0,0.0,0.0,10,2
CD_BT_PV,CH,0.0,0.0,0.0,10,2
CD_BT_PV,BU,0.0,0.0,0.0,10,2
CD_BT_PV,BT,0.9901584073333334,1.0691233939975773,0.14741923163304324,10,2
CD_BT_PV,PV,0.063133537,0.6177641243765943,0.17684589784030802,10,2
CD_BT_PV,EL,0.0,0.0,0.0,10,2
CD_BT_PV,CD,0.09885744433333334,0.11333440106211126,0.12408009579373444,10,8
CD_BT_PV,DP,0.0,0.0,0.0,10,8
CD_BT_PV,CA,0.0,0.0,0.0,10,8
CD_BT_PV,PC,0.0,0.0,0.0,10,8
CD_BT_PV,CS,0.0,0.0,0.0,10,8
CD_BT_PV,CH,0.0,0.0,0.0,10,8
CD_BT_PV,BU,0.0,0.0,0.0,10,8
CD_BT_PV,BT,0.768806736,1.0687554274173874,0.14781118070279767,10,8
CD_BT_PV,PV,0.0198025,0.6178998967453515,0.1771300266011932,10,8
CD_BT_PV,EL,0.0,0.0,0.0,10,8
CD_BT_PV,CD,0.000542005,0.11333440106211123,0.12408009579373444,10,15
CD_BT_PV,DP,0.0,0.0,0.0,10,15
CD_BT_PV,CA,0.0,0.0,0.0,10,15
CD_BT_PV,PC,0.0,0.0,0.0,10,15
CD_BT_PV,CS,0.0,0.0,0.0,10,15
CD_BT_PV,CH,0.0,0.0,0.0,10,15
CD_BT_PV,BU,0.0,0.0,0.0,10,15
CD_BT_PV,BT,1.2138579953333333,1.0687554274173872,0.1478111807027977,10,15
CD_BT_PV,PV,0.0,0.6178998967453515,0.1771300266011932,10,15
CD_BT_PV,EL,0.0,0.0,0.0,10,15
CD_BT_PV,CD,0.00046388166666666667,0.11333440106211123,0.12408009579373444,10,22
CD_BT_PV,DP,0.0,0.0,0.0,10,22
CD_BT_PV,CA,0.0,0.0,0.0,10,22
CD_BT_PV,PC,0.0,0.0,0.0,10,22
CD_BT_PV,CS,0.0,0.0,0.0,10,22
CD_BT_PV,CH,0.0,0.0,0.0,10,22
CD_BT_PV,BU,0.0,0.0,0.0,10,22
CD_BT_PV,BT,1.1584608553333333,1.0687554274173872,0.1478111807027977,10,22
CD_BT_PV,PV,0.00010859933333333334,0.6178998967453515,0.1771300266011932,10,22
CD_BT_PV,EL,0.0,0.0,0.0,10,22
CD_BT_PV,CD,0.0004690953333333333,0.11333440106211123,0.12408009579373444,10,29
CD_BT_PV,DP,0.0,0.0,0.0,10,29
CD_BT_PV,CA,0.0,0.0,0.0,10,29
CD_BT_PV,PC,0.0,0.0,0.0,10,29
CD_BT_PV,CS,0.0,0.0,0.0,10,29
CD_BT_PV,CH,0.0,0.0,0.0,10,29
CD_BT_PV,BU,0.0,0.0,0.0,10,29
CD_BT_PV,BT,1.0178975643333334,1.0687554274173872,0.1478111807027977,10,29
CD_BT_PV,PV,0.0,0.6178998967453515,0.1771300266011932,10,29
CD_BT_PV,EL,0.0,0.0,0.0,10,29
CD_BT_PV,CD,6.1849e-5,0.11333440106211123,0.12408009579373444,10,36
CD_BT_PV,DP,0.0,0.0,0.0,10,36
CD_BT_PV,CA,0.0,0.0,0.0,10,36
CD_BT_PV,PC,0.0,0.0,0.0,10,36
CD_BT_PV,CS,0.0,0.0,0.0,10,36
CD_BT_PV,CH,0.0,0.0,0.0,10,36
CD_BT_PV,BU,0.0,0.0,0.0,10,36
