Time,Sample,Replicate,CD,DP,CA,PC,CS,CH,BU,BT,PV,EL
0,CD_BT_EL,1,0.001833333,0,0,0,0,0,0,0.001833333,0,0.001833333
0,CD_BT_EL,2,0.001833333,0,0,0,0,0,0,0.001833333,0,0.001833333
0,CD_BT_EL,3,0.001833333,0,0,0,0,0,0,0.001833333,0,0.001833333
1,CD_BT_EL,1,0.138588267,0,0,0,0,0,0,1.147935301,0,0.000643101
1,CD_BT_EL,2,0.126435031,0,0,0,0,0,0,1.154708696,0,0.00032295
1,CD_BT_EL,3,0.147978369,0,0,0,0,0,0,1.127747851,0,0.000440412
7,CD_BT_EL,1,0.000545274,0,0,0,0,0,0,0.9542299,0,0.001291439
7,CD_BT_EL,2,0.000145396,0,0,0,0,0,0,0.958121562,0,0.000799677
7,CD_BT_EL,3,0.000452346,0,0,0,0,0,0,0.963086307,0,0.00102806
14,CD_BT_EL,1,0.067239235,0,0,0,0,0,0,1.273400571,0,0.002993528
14,CD_BT_EL,2,0.05313624,0,0,0,0,0,0,1.244406196,0,0.005090897
14,CD_BT_EL,3,0.015476527,0,0,0,0,0,0,1.30510256,0,0.013954246
21,CD_BT_EL,1,0.083052591,0,0,0,0,0,0,1.266744267,0,0.002403142
21,CD_BT_EL,2,0.028147762,0,0,0,0,0,0,1.301869346,0,0.000282892
21,CD_BT_EL,3,0.032966988,0,0,0,0,0,0,1.338215512,0,0.0010175
28,CD_BT_EL,1,0.020478764,0,0,0,0,0,0,1.221196902,0,0.006324324
28,CD_BT_EL,2,0.000251031,0,0,0,0,0,0,1.052822136,0,0.006526794
28,CD_BT_EL,3,0.081370518,0,0,0,0,0,0,1.012164084,0,0.002365422
35,CD_BT_EL,1,0.145693153,0,0,0,0,0,0,0.974878048,0,0.01606215
35,CD_BT_EL,2,0,0,0,0,0,0,0,1.155919101,0,0.034114291
35,CD_BT_EL,3,0.213516792,0,0,0,0,0,0,1.026809139,0,0.044907403
0,CD_BT_PV,1,0.001833333,0,0,0,0,0,0,0.001833333,0.001833333,0
0,CD_BT_PV,2,0.001833333,0,0,0,0,0,0,0.001833333,0.001833333,0
0,CD_BT_PV,3,0.001833333,0,0,0,0,0,0,0.001833333,0.001833333,0
1,CD_BT_PV,1,0.243923046,0,0,0,0,0,0,0.99326092,0.057882704,0
1,CD_BT_PV,2,0.243370002,0,0,0,0,0,0,0.982290435,0.06340619,0
1,CD_BT_PV,3,0.221231081,0,0,0,0,0,0,0.994923867,0.068111717,0
7,CD_BT_PV,1,0.000173757,0,0,0,0,0,0,0.88608866,0.000104254,0
7,CD_BT_PV,2,0.000176345,0,0,0,0,0,0,0.887131531,5.88E-05,0
7,CD_BT_PV,3,0.296222231,0,0,0,0,0,0,0.533200017,0.059244446,0
14,CD_BT_PV,1,0.000231843,0,0,0,0,0,0,1.223201491,0,0
14,CD_BT_PV,2,0.000859638,0,0,0,0,0,0,1.211573695,0,0
14,CD_BT_PV,3,0.000534534,0,0,0,0,0,0,1.2067988,0,0
21,CD_BT_PV,1,0.000400319,0,0,0,0,0,0,1.129799681,0,0
21,CD_BT_PV,2,0.000748728,0,0,0,0,0,0,1.13756808,8.32E-05,0
21,CD_BT_PV,3,0.000242598,0,0,0,0,0,0,1.208014805,0.000242598,0
28,CD_BT_PV,1,0.000683882,0,0,0,0,0,0,1.038816082,0,0
28,CD_BT_PV,2,0.000248299,0,0,0,0,0,0,1.058251717,0,0
28,CD_BT_PV,3,0.000475105,0,0,0,0,0,0,0.956624894,0,0
35,CD_BT_PV,1,0,0,0,0,0,0,0,0.993933275,0,0
