Treatments,species,true,pred
CDevo-DP-BT-CA,BT,1.1285164916666668,1.1269382
CDevo-DP-BT-CA,BT,1.0089963116666667,1.0713633
CH-DP-BT-BU,BT,0.8445462246666667,0.8582389
CH-DP-BT-BU,BT,0.8366360526666666,0.8472909
CH-DP-BT-BU-BV-CA,BT,0.8129144949999999,0.82848614
CH-DP-BT-BU-BV-CA,BT,0.8086059533333333,0.85600215
CS-BT-BU-BV,BT,0.7484752063333334,0.70055234
CS-BT-BU-BV,BT,0.7623571239999999,0.7726723
CS-BT-BU-CA,BT,0.760218939,0.8059739
CS-BT-BU-CA,BT,0.8192246470000001,0.840232
CS-BT-BV-CA,BT,1.016049432,0.98249143
CS-BT-BV-CA,BT,1.010873854666667,0.99834025
CS-CH-BT-BU,BT,0.861526892,0.77117896
CS-CH-BT-BU,BT,0.882383908,0.7912661
CS-CH-BT-BU-BV-CA,BT,0.807435714,0.7683939
CS-CH-BT-BU-BV-CA,BT,0.8147868633333334,0.8208089
CS-CH-BT-BU-CA,BT,0.8883526313333333,0.81863403
CS-CH-BT-BU-CA,BT,0.8633133503333333,0.82340676
CS-CH-BT-CA,BT,1.178254097,1.0682316
CS-CH-BT-CA,BT,1.108827871,1.0116353
CS-CH-DP-BT-BU,BT,0.8812797689999999,0.8963485
CS-CH-DP-BT-BU,BT,0.8432956639999999,0.87490207
CS-CH-DP-BT-BU-BV-CA,BT,0.771952514,0.84160763
CS-CH-DP-BT-BU-BV-CA,BT,0.7566428406666668,0.8445474
CS-CH-DP-BT-BU-CA,BT,0.8556562900000001,0.88245773
CS-CH-DP-BT-BU-CA,BT,0.823884028,0.86423475
CS-DP-BT-BU,BT,0.880185672,0.8504378
CS-DP-BT-BU,BT,0.8850126836666666,0.84253764
CS-DP-BT-BU-BV,BT,0.8542205095,0.7803636
CS-DP-BT-BU-BV,BT,0.8373399676666667,0.76966834
CS-DP-BT-BU-BV-CA,BT,0.6543779886666666,0.8326588
CS-DP-BT-BU-BV-CA,BT,0.672904892,0.8384035
CS-DP-BT-BV,BT,1.0794961010000002,1.0992339
CS-DP-BT-BV,BT,1.0564141366666666,1.0884299
CS-DP-BT-BV-CA,BT,1.0997645003333334,1.0474411
CS-DP-BT-BV-CA,BT,1.066017131,1.0506752
DP-BT-BU-BV,BT,0.8443227283333333,0.7716891
DP-BT-BU-BV,BT,0.8362880436666665,0.8433559
DP-BT-BU-BV-CA,BT,0.8495348859999999,0.7925065
DP-BT-BU-BV-CA,BT,0.8369103293333332,0.8215208
DP-BT-BV-CA,BT,1.0465466483333332,1.079983
DP-BT-BV-CA,BT,1.0750140436666664,1.0357788
CDevo-BT-BU-CA,BU,0.362027328,0.3389844
CDevo-BT-BU-CA,BU,0.3103991879999999,0.27755612
CDevo-BU,BU,1.031857645,0.8813431
CDevo-BU,BU,1.039077442666667,0.8820776
CDevo-CH-BT-BU-BV,BU,0.251760193,0.36121985
CDevo-CH-BT-BU-BV,BU,0.2658610939999999,0.34171718
CDevo-CH-BU-CA,BU,0.9539655493333332,0.8884188
CDevo-CH-BU-CA,BU,0.9389242366666668,0.7924209
CDevo-CH-DP-BT-BU,BU,0.2680793713333333,0.27159035
CDevo-CH-DP-BT-BU,BU,0.2388215416666666,0.25294396
CDevo-CS-BT-BU-BV,BU,0.3092923936666667,0.32389927
CDevo-CS-BT-BU-BV,BU,0.2885433143333333,0.28229415
CDevo-CS-BT-BU-CA,BU,0.3369943326666666,0.33310694
CDevo-CS-BT-BU-CA,BU,0.271470214,0.28746852
CDevo-CS-CH-DP-BT-BU-BV-CA,BU,0.3009876956666666,0.27295923
CDevo-CS-CH-DP-BT-BU-BV-CA,BU,0.2551180066666667,0.2752158
CDevo-CS-CH-DP-BU,BU,0.8956672396666666,0.95680946
CDevo-CS-CH-DP-BU,BU,0.7118347256666667,0.90730107
CDevo-CS-CH-DP-BU-BV,BU,0.7166919953333334,0.70821416
CDevo-CS-CH-DP-BU-BV,BU,0.45693343,0.48683143
CDevo-CS-DP-BU,BU,0.9835977636666668,0.948264
CDevo-CS-DP-BU,BU,0.7974284393333333,0.9582574
CDevo-CS-DP-BU-BV,BU,0.710750488,0.6762371
CDevo-CS-DP-BU-BV,BU,0.4193291693333333,0.37435898
CDevo-CS-DP-BU-CA,BU,0.932841781,0.8689189
CDevo-CS-DP-BU-CA,BU,0.7925036153333332,0.73987424
CDevo-DP-BT-BU-BV-CA,BU,0.3018746696666667,0.25279534
